date,sp500_price,sp500_pe_ratio
1871-01-01,4.44,11.10
1871-02-01,4.50,11.25
1871-03-01,4.61,11.52
1871-04-01,4.74,11.85
1871-05-01,4.86,12.15
1871-06-01,4.82,12.05
1871-07-01,4.73,11.82
1871-08-01,4.79,11.98
1871-09-01,4.84,12.10
1871-10-01,4.59,11.48
1871-11-01,4.64,11.60
1871-12-01,4.74,11.85
1872-01-01,4.86,12.07
1872-02-01,4.88,12.05
1872-03-01,5.04,12.37
1872-04-01,5.18,12.63
1872-05-01,5.18,12.56
1872-06-01,5.13,12.36
1872-07-01,5.10,12.22
1872-08-01,5.04,12.00
1872-09-01,4.95,11.72
1872-10-01,4.97,11.69
1872-11-01,4.95,11.58
1872-12-01,5.07,11.79
1873-01-01,5.11,11.82
1873-02-01,5.15,11.84
1873-03-01,5.11,11.68
1873-04-01,5.04,11.45
1873-05-01,5.05,11.41
1873-06-01,4.98,11.19
1873-07-01,4.97,11.11
1873-08-01,4.97,11.04
1873-09-01,4.59,10.14
1873-10-01,4.19,9.21
1873-11-01,4.04,8.83
1873-12-01,4.42,9.61
1874-01-01,4.66,10.13
1874-02-01,4.80,10.43
1874-03-01,4.73,10.28
1874-04-01,4.60,10.00
1874-05-01,4.48,9.74
1874-06-01,4.46,9.70
1874-07-01,4.46,9.70
1874-08-01,4.47,9.72
1874-09-01,4.54,9.87
1874-10-01,4.53,9.85
1874-11-01,4.57,9.93
1874-12-01,4.54,9.87
1875-01-01,4.54,10.05
1875-02-01,4.53,10.22
1875-03-01,4.59,10.55
1875-04-01,4.65,10.90
1875-05-01,4.47,10.69
1875-06-01,4.38,10.68
1875-07-01,4.39,10.93
1875-08-01,4.41,11.21
1875-09-01,4.37,11.35
1875-10-01,4.30,11.41
1875-11-01,4.37,11.87
1875-12-01,4.37,12.14
1876-01-01,4.46,12.62
1876-02-01,4.52,13.04
1876-03-01,4.51,13.26
1876-04-01,4.34,13.02
1876-05-01,4.18,12.79
1876-06-01,4.15,12.97
1876-07-01,4.10,13.09
1876-08-01,3.93,12.81
1876-09-01,3.69,12.30
1876-10-01,3.67,12.51
1876-11-01,3.60,12.56
1876-12-01,3.58,12.79
1877-01-01,3.55,12.60
1877-02-01,3.34,11.79
1877-03-01,3.17,11.12
1877-04-01,2.94,10.25
1877-05-01,2.94,10.20
1877-06-01,2.73,9.41
1877-07-01,2.85,9.77
1877-08-01,3.05,10.40
1877-09-01,3.24,10.98
1877-10-01,3.31,11.16
1877-11-01,3.26,10.93
1877-12-01,3.25,10.83
1878-01-01,3.25,10.80
1878-02-01,3.18,10.54
1878-03-01,3.24,10.71
